melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
1,1,converged,male,1,virgin,no
1,1,converged,male,1,virgin,no
2,1,converged,male,1,virgin,no
2,1,converged,male,1,virgin,no
2,1,converged,male,1,virgin,no
0,1,converged,female,1,virgin,no
1,1,converged,female,1,virgin,no
1,1,converged,female,1,virgin,no
1,1,converged,female,1,virgin,no
0,2,converged,male,1,virgin,no
0,2,converged,male,1,virgin,no
0,2,converged,male,1,virgin,no
1,2,converged,male,1,virgin,no
1,2,converged,male,1,virgin,no
0,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
1,2,converged,male,3,mated,no
1,2,converged,male,3,mated,no
2,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
0,2,converged,male,3,mated,no
0,2,converged,female,1,virgin,no
0,2,converged,female,1,virgin,no
1,2,converged,female,1,virgin,no
1,2,converged,female,1,virgin,no
1,2,converged,female,1,virgin,no
1,2,converged,female,3,virgin,no
1,2,converged,female,3,virgin,no
1,2,converged,female,3,virgin,no
1,2,converged,female,3,virgin,no
2,2,converged,female,3,virgin,no
1,2,converged,female,3,mated,no
1,2,converged,female,3,mated,no
1,2,converged,female,3,mated,no
1,2,converged,female,3,mated,no
1,2,converged,female,3,mated,no
0,3,converged,male,1,virgin,no
1,3,converged,male,1,virgin,no
1,3,converged,male,1,virgin,no
2,3,converged,male,1,virgin,no
2,3,converged,male,1,virgin,no
0,3,converged,female,1,virgin,no
0,3,converged,female,1,virgin,no
1,3,converged,female,1,virgin,no
2,3,converged,female,1,virgin,no
2,3,converged,female,1,virgin,no
0,4,converged,male,1,virgin,no
0,4,converged,male,1,virgin,no
0,4,converged,male,1,virgin,no
1,4,converged,male,1,virgin,no
1,4,converged,male,1,virgin,no
0,4,converged,male,3,virgin,no
0,4,converged,male,3,virgin,no
0,4,converged,male,3,virgin,no
0,4,converged,male,3,virgin,no
1,4,converged,male,3,virgin,no
0,4,converged,female,1,virgin,no
0,4,converged,female,1,virgin,no
0,4,converged,female,1,virgin,no
1,4,converged,female,1,virgin,no
1,4,converged,female,1,virgin,no
0,4,converged,female,3,virgin,no
0,4,converged,female,3,virgin,no
1,4,converged,female,3,virgin,no
1,4,converged,female,3,virgin,no
1,4,converged,female,3,virgin,no
0,5,nonconverged,male,1,virgin,no
0,5,nonconverged,male,1,virgin,no
0,5,nonconverged,male,1,virgin,no
1,5,nonconverged,male,1,virgin,no
0,5,nonconverged,male,3,mated,no
0,5,nonconverged,male,3,mated,no
1,5,nonconverged,male,3,mated,no
2,5,nonconverged,male,3,mated,no
2,5,nonconverged,male,3,mated,no
0,5,nonconverged,male,3,virgin,no
0,5,nonconverged,male,3,virgin,no
1,5,nonconverged,male,3,virgin,no
2,5,nonconverged,male,3,virgin,no
2,5,nonconverged,male,3,virgin,no
0,5,nonconverged,female,1,virgin,no
0,5,nonconverged,female,1,virgin,no
1,5,nonconverged,female,1,virgin,no
1,5,nonconverged,female,1,virgin,no
2,5,nonconverged,female,1,virgin,no
1,5,nonconverged,female,3,mated,no
1,5,nonconverged,female,3,mated,no
2,5,nonconverged,female,3,mated,no
2,5,nonconverged,female,3,mated,no
1,5,nonconverged,female,3,virgin,no
1,5,nonconverged,female,3,virgin,no
1,5,nonconverged,female,3,virgin,no
1,5,nonconverged,female,3,virgin,no
2,5,nonconverged,female,3,virgin,no
0,6,nonconverged,male,1,virgin,no
0,6,nonconverged,male,1,virgin,no
0,6,nonconverged,male,1,virgin,no
1,6,nonconverged,male,1,virgin,no
1,6,nonconverged,male,1,virgin,no
2,6,nonconverged,male,1,virgin,no
0,6,nonconverged,female,1,virgin,no
1,6,nonconverged,female,1,virgin,no
1,6,nonconverged,female,1,virgin,no
1,7,converged,female,1,virgin,no
1,7,converged,female,1,virgin,no
1,7,converged,female,1,virgin,no
1,7,converged,female,1,virgin,no
2,7,converged,female,1,virgin,no
0,7,converged,female,3,mated,no
1,7,converged,female,3,mated,no
1,7,converged,female,3,mated,no
2,7,converged,female,3,mated,no
0,7,converged,female,3,virgin,no
1,7,converged,female,3,virgin,no
1,7,converged,female,3,virgin,no
1,7,converged,female,3,virgin,no
1,8,converged,female,1,virgin,no
1,8,converged,female,1,virgin,no
1,8,converged,female,1,virgin,no
2,8,converged,female,1,virgin,no
2,8,converged,female,1,virgin,no
2,8,converged,female,1,virgin,no
0,8,converged,female,3,mated,no
1,8,converged,female,3,mated,no
1,8,converged,female,3,mated,no
2,8,converged,female,3,mated,no
0,8,converged,female,3,virgin,no
1,8,converged,female,3,virgin,no
1,8,converged,female,3,virgin,no
2,8,converged,female,3,virgin,no
2,8,converged,female,3,virgin,no
0,9,nonconverged,male,1,virgin,no
0,9,nonconverged,male,1,virgin,no
0,9,nonconverged,male,1,virgin,no
0,9,nonconverged,male,1,virgin,no
1,9,nonconverged,male,1,virgin,no
0,9,nonconverged,male,3,mated,no
0,9,nonconverged,male,3,mated,no
0,9,nonconverged,male,3,mated,no
1,9,nonconverged,male,3,mated,no
1,9,nonconverged,male,3,mated,no
0,9,nonconverged,male,3,virgin,no
0,9,nonconverged,male,3,virgin,no
0,9,nonconverged,male,3,virgin,no
1,9,nonconverged,male,3,virgin,no
1,9,nonconverged,male,3,virgin,no
1,9,nonconverged,female,1,virgin,no
1,9,nonconverged,female,1,virgin,no
1,9,nonconverged,female,1,virgin,no
1,9,nonconverged,female,1,virgin,no
1,9,nonconverged,female,1,virgin,no
0,9,nonconverged,female,3,mated,no
1,9,nonconverged,female,3,mated,no
1,9,nonconverged,female,3,mated,no
1,9,nonconverged,female,3,mated,no
1,9,nonconverged,female,3,mated,no
1,9,nonconverged,female,3,virgin,no
1,9,nonconverged,female,3,virgin,no
1,9,nonconverged,female,3,virgin,no
1,9,nonconverged,female,3,virgin,no
0,10,nonconverged,male,1,virgin,no
0,10,nonconverged,male,1,virgin,no
0,10,nonconverged,male,1,virgin,no
2,10,nonconverged,male,1,virgin,no
2,10,nonconverged,male,1,virgin,no
0,10,nonconverged,male,3,virgin,no
0,10,nonconverged,male,3,virgin,no
1,10,nonconverged,male,3,virgin,no
2,10,nonconverged,male,3,virgin,no
1,10,nonconverged,female,1,virgin,no
2,10,nonconverged,female,1,virgin,no
2,10,nonconverged,female,1,virgin,no
2,10,nonconverged,female,1,virgin,no
2,10,nonconverged,female,1,virgin,no
1,10,nonconverged,female,3,virgin,no
1,10,nonconverged,female,3,virgin,no
2,10,nonconverged,female,3,virgin,no
2,10,nonconverged,female,3,virgin,no
2,10,nonconverged,female,3,virgin,no
0,11,nonconverged,male,1,virgin,no
1,11,nonconverged,male,1,virgin,no
1,11,nonconverged,male,1,virgin,no
1,11,nonconverged,male,1,virgin,no
1,11,nonconverged,male,1,virgin,no
0,11,nonconverged,male,3,virgin,no
1,11,nonconverged,male,3,virgin,no
1,11,nonconverged,male,3,virgin,no
2,11,nonconverged,male,3,virgin,no
0,11,nonconverged,female,1,virgin,no
1,11,nonconverged,female,1,virgin,no
1,11,nonconverged,female,1,virgin,no
1,11,nonconverged,female,1,virgin,no
1,11,nonconverged,female,1,virgin,no
1,11,nonconverged,female,3,virgin,no
1,11,nonconverged,female,3,virgin,no
1,11,nonconverged,female,3,virgin,no
1,11,nonconverged,female,3,virgin,no
0,12,nonconverged,male,1,virgin,no
0,12,nonconverged,male,1,virgin,no
0,12,nonconverged,male,1,virgin,no
1,12,nonconverged,male,1,virgin,no
1,12,nonconverged,male,1,virgin,no
0,12,nonconverged,male,3,mated,no
0,12,nonconverged,male,3,mated,no
0,12,nonconverged,male,3,mated,no
1,12,nonconverged,male,3,mated,no
0,12,nonconverged,male,3,virgin,no
0,12,nonconverged,male,3,virgin,no
0,12,nonconverged,male,3,virgin,no
0,12,nonconverged,male,3,virgin,no
2,12,nonconverged,male,3,virgin,no
1,12,nonconverged,female,1,virgin,no
1,12,nonconverged,female,1,virgin,no
2,12,nonconverged,female,1,virgin,no
2,12,nonconverged,female,1,virgin,no
0,12,nonconverged,female,3,mated,no
1,12,nonconverged,female,3,mated,no
1,12,nonconverged,female,3,mated,no
1,12,nonconverged,female,3,mated,no
0,12,nonconverged,female,3,virgin,no
1,12,nonconverged,female,3,virgin,no
2,12,nonconverged,female,3,virgin,no
0,13,converged,male,1,virgin,no
1,13,converged,male,1,virgin,no
2,13,converged,male,1,virgin,no
2,13,converged,male,1,virgin,no
0,13,converged,male,3,virgin,no
0,13,converged,male,3,virgin,no
1,13,converged,male,3,virgin,no
2,13,converged,male,3,virgin,no
2,13,converged,male,3,virgin,no
1,13,converged,female,1,virgin,no
2,13,converged,female,1,virgin,no
2,13,converged,female,1,virgin,no
2,13,converged,female,1,virgin,no
2,13,converged,female,1,virgin,no
1,13,converged,female,3,virgin,no
1,13,converged,female,3,virgin,no
2,13,converged,female,3,virgin,no
2,13,converged,female,3,virgin,no
0,14,converged,male,1,virgin,no
0,14,converged,male,1,virgin,no
1,14,converged,male,1,virgin,no
1,14,converged,male,1,virgin,no
2,14,converged,male,1,virgin,no
0,15,converged,male,3,virgin,no
0,15,converged,male,3,virgin,no
0,15,converged,male,3,virgin,no
0,15,converged,male,3,virgin,no
1,15,converged,male,3,virgin,no
0,16,converged,male,1,virgin,no
0,16,converged,male,1,virgin,no
1,16,converged,male,1,virgin,no
1,16,converged,male,1,virgin,no
0,16,converged,male,3,mated,no
0,16,converged,male,3,mated,no
0,16,converged,male,3,mated,no
1,16,converged,male,3,mated,no
0,16,converged,male,3,virgin,no
1,16,converged,male,3,virgin,no
1,16,converged,male,3,virgin,no
1,16,converged,male,3,virgin,no
0,16,converged,female,1,virgin,no
1,16,converged,female,1,virgin,no
1,16,converged,female,1,virgin,no
1,16,converged,female,1,virgin,no
2,16,converged,female,1,virgin,no
1,16,converged,female,3,mated,no
1,16,converged,female,3,mated,no
1,16,converged,female,3,mated,no
1,16,converged,female,3,mated,no
2,16,converged,female,3,mated,no
1,16,converged,female,3,virgin,no
1,16,converged,female,3,virgin,no
1,16,converged,female,3,virgin,no
2,16,converged,female,3,virgin,no
0,17,converged,male,1,virgin,no
0,17,converged,male,1,virgin,no
0,17,converged,male,1,virgin,no
0,17,converged,male,1,virgin,no
0,17,converged,male,3,virgin,no
0,17,converged,male,3,virgin,no
0,17,converged,male,3,virgin,no
0,17,converged,male,3,virgin,no
0,17,converged,female,1,virgin,no
0,17,converged,female,1,virgin,no
1,17,converged,female,1,virgin,no
2,17,converged,female,1,virgin,no
0,17,converged,female,3,virgin,no
0,17,converged,female,3,virgin,no
1,17,converged,female,3,virgin,no
1,17,converged,female,3,virgin,no
1,17,converged,female,3,virgin,no
0,18,converged,male,1,virgin,no
1,18,converged,male,1,virgin,no
1,18,converged,male,1,virgin,no
2,18,converged,male,1,virgin,no
2,18,converged,male,1,virgin,no
0,18,converged,male,3,virgin,no
0,18,converged,male,3,virgin,no
1,18,converged,male,3,virgin,no
2,18,converged,male,3,virgin,no
2,18,converged,male,3,virgin,no
1,18,converged,female,1,virgin,no
1,18,converged,female,1,virgin,no
2,18,converged,female,1,virgin,no
2,18,converged,female,1,virgin,no
2,18,converged,female,1,virgin,no
1,18,converged,female,3,virgin,no
1,18,converged,female,3,virgin,no
1,18,converged,female,3,virgin,no
2,18,converged,female,3,virgin,no
2,18,converged,female,3,virgin,no
0,19,converged,male,1,virgin,no
0,19,converged,male,1,virgin,no
0,19,converged,male,1,virgin,no
1,19,converged,male,1,virgin,no
2,19,converged,male,1,virgin,no
0,19,converged,male,3,virgin,no
0,19,converged,male,3,virgin,no
1,19,converged,male,3,virgin,no
1,19,converged,male,3,virgin,no
1,19,converged,male,3,virgin,no
1,19,converged,female,1,virgin,no
2,19,converged,female,1,virgin,no
2,19,converged,female,1,virgin,no
2,19,converged,female,1,virgin,no
0,19,converged,female,3,virgin,no
1,19,converged,female,3,virgin,no
1,19,converged,female,3,virgin,no
1,19,converged,female,3,virgin,no
2,19,converged,female,3,virgin,no
0,20,converged,male,3,mated,no
1,20,converged,male,3,mated,no
1,20,converged,male,3,mated,no
1,20,converged,male,3,mated,no
2,20,converged,male,3,mated,no
0,20,converged,male,3,virgin,no
1,20,converged,male,3,virgin,no
1,20,converged,male,3,virgin,no
1,20,converged,male,3,virgin,no
2,20,converged,male,3,virgin,no
2,20,converged,female,3,mated,no
2,20,converged,female,3,mated,no
2,20,converged,female,3,mated,no
2,20,converged,female,3,virgin,no
2,20,converged,female,3,virgin,no
2,20,converged,female,3,virgin,no
0,21,converged,male,1,virgin,no
0,21,converged,male,1,virgin,no
1,21,converged,male,1,virgin,no
1,21,converged,male,1,virgin,no
2,21,converged,male,1,virgin,no
0,21,converged,male,3,mated,no
0,21,converged,male,3,mated,no
1,21,converged,male,3,mated,no
2,21,converged,male,3,mated,no
2,21,converged,male,3,mated,no
0,21,converged,male,3,virgin,no
0,21,converged,male,3,virgin,no
0,21,converged,male,3,virgin,no
1,21,converged,male,3,virgin,no
2,21,converged,female,1,virgin,no
2,21,converged,female,1,virgin,no
2,21,converged,female,1,virgin,no
2,21,converged,female,1,virgin,no
2,21,converged,female,1,virgin,no
2,21,converged,female,3,mated,no
2,21,converged,female,3,mated,no
2,21,converged,female,3,mated,no
2,21,converged,female,3,mated,no
1,21,converged,female,3,virgin,no
1,21,converged,female,3,virgin,no
2,21,converged,female,3,virgin,no
2,21,converged,female,3,virgin,no
2,21,converged,female,3,virgin,no
0,22,converged,male,1,virgin,no
0,22,converged,male,1,virgin,no
1,22,converged,male,1,virgin,no
2,22,converged,male,1,virgin,no
0,22,converged,male,3,mated,no
0,22,converged,male,3,mated,no
0,22,converged,male,3,mated,no
0,22,converged,male,3,mated,no
1,22,converged,male,3,mated,no
0,22,converged,male,3,virgin,no
0,22,converged,male,3,virgin,no
0,22,converged,male,3,virgin,no
1,22,converged,male,3,virgin,no
1,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,virgin,no
0,22,converged,female,3,virgin,no
0,22,converged,female,3,virgin,no
1,22,converged,female,3,virgin,no
1,22,converged,female,3,virgin,no
1,23,converged,male,1,virgin,no
2,23,converged,male,1,virgin,no
