melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
2,23,converged,male,1,virgin,no
2,23,converged,male,1,virgin,no
0,23,converged,male,3,virgin,no
0,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
1,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
0,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
0,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
0,24,nonconverged,male,3,mated,no
0,24,nonconverged,male,3,mated,no
1,24,nonconverged,male,3,mated,no
2,24,nonconverged,male,3,mated,no
2,24,nonconverged,male,3,mated,no
1,24,nonconverged,male,3,virgin,no
1,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
1,24,nonconverged,female,1,virgin,no
1,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
0,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
1,24,nonconverged,female,3,virgin,no
2,24,nonconverged,female,3,virgin,no
2,24,nonconverged,female,3,virgin,no
2,24,nonconverged,female,3,virgin,no
0,25,converged,male,1,virgin,no
0,25,converged,male,1,virgin,no
0,25,converged,male,1,virgin,no
1,25,converged,male,1,virgin,no
1,25,converged,male,1,virgin,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
1,25,converged,male,3,virgin,no
1,25,converged,male,3,virgin,no
1,25,converged,male,3,virgin,no
1,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
0,25,converged,female,3,mated,no
0,25,converged,female,3,mated,no
0,25,converged,female,3,mated,no
1,25,converged,female,3,mated,no
1,25,converged,female,3,mated,no
2,25,converged,female,3,mated,no
0,25,converged,female,3,virgin,no
1,25,converged,female,3,virgin,no
1,25,converged,female,3,virgin,no
2,25,converged,female,3,virgin,no
1,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
1,26,nonconverged,male,3,virgin,no
1,26,nonconverged,male,3,virgin,no
1,26,nonconverged,male,3,virgin,no
2,26,nonconverged,male,3,virgin,no
2,26,nonconverged,male,3,virgin,no
0,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,mated,no
2,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,virgin,no
0,26,nonconverged,female,3,virgin,no
0,26,nonconverged,female,3,virgin,no
1,26,nonconverged,female,3,virgin,no
1,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
1,27,nonconverged,female,1,virgin,no
1,27,nonconverged,female,1,virgin,no
1,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
1,28,converged,male,3,mated,no
0,28,converged,female,3,mated,no
0,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
0,30,converged,male,3,mated,no
0,30,converged,male,3,mated,no
2,30,converged,male,3,mated,no
2,30,converged,male,3,mated,no
0,30,converged,female,3,mated,no
1,30,converged,female,3,mated,no
1,30,converged,female,3,mated,no
1,30,converged,female,3,mated,no
2,30,converged,female,3,mated,no
0,31,nonconverged,male,3,mated,no
0,31,nonconverged,male,3,mated,no
1,31,nonconverged,male,3,mated,no
2,31,nonconverged,male,3,mated,no
2,31,nonconverged,male,3,mated,no
0,31,nonconverged,female,3,mated,no
0,31,nonconverged,female,3,mated,no
0,31,nonconverged,female,3,mated,no
2,31,nonconverged,female,3,mated,no
0,32,converged,male,3,mated,no
1,32,converged,male,3,mated,no
1,32,converged,male,3,mated,no
1,32,converged,male,3,mated,no
2,32,converged,male,3,mated,no
2,32,converged,female,3,mated,no
2,32,converged,female,3,mated,no
2,32,converged,female,3,mated,no
2,32,converged,female,3,mated,no
2,32,converged,female,3,mated,no
0,33,converged,male,3,mated,no
0,33,converged,male,3,mated,no
0,33,converged,male,3,mated,no
1,33,converged,female,3,mated,no
1,33,converged,female,3,mated,no
1,33,converged,female,3,mated,no
0,34,converged,male,3,mated,no
0,34,converged,male,3,mated,no
2,34,converged,male,3,mated,no
2,34,converged,male,3,mated,no
1,34,converged,female,3,mated,no
2,34,converged,female,3,mated,no
2,34,converged,female,3,mated,no
2,34,converged,female,3,mated,no
2,34,converged,female,3,mated,no
0,35,nonconverged,male,3,mated,no
0,35,nonconverged,male,3,mated,no
1,35,nonconverged,male,3,mated,no
1,35,nonconverged,male,3,mated,no
0,35,nonconverged,female,3,mated,no
0,35,nonconverged,female,3,mated,no
0,35,nonconverged,female,3,mated,no
0,35,nonconverged,female,3,mated,no
1,35,nonconverged,female,3,mated,no
0,36,nonconverged,male,1,virgin,no
0,36,nonconverged,male,1,virgin,no
2,36,nonconverged,male,1,virgin,no
2,36,nonconverged,male,1,virgin,no
0,36,nonconverged,male,3,mated,no
1,36,nonconverged,male,3,mated,no
1,36,nonconverged,male,3,mated,no
2,36,nonconverged,male,3,mated,no
2,36,nonconverged,male,3,mated,no
0,36,nonconverged,male,3,virgin,no
0,36,nonconverged,male,3,virgin,no
1,36,nonconverged,male,3,virgin,no
1,36,nonconverged,female,1,virgin,no
1,36,nonconverged,female,1,virgin,no
2,36,nonconverged,female,1,virgin,no
2,36,nonconverged,female,1,virgin,no
2,36,nonconverged,female,1,virgin,no
0,36,nonconverged,female,3,mated,no
0,36,nonconverged,female,3,mated,no
1,36,nonconverged,female,3,mated,no
1,36,nonconverged,female,3,mated,no
1,36,nonconverged,female,3,mated,no
2,36,nonconverged,female,3,mated,no
0,36,nonconverged,female,3,virgin,no
1,36,nonconverged,female,3,virgin,no
1,36,nonconverged,female,3,virgin,no
2,36,nonconverged,female,3,virgin,no
2,36,nonconverged,female,3,virgin,no
0,41,nonconverged,male,3,virgin,no
1,41,nonconverged,male,3,virgin,no
2,41,nonconverged,male,3,virgin,no
2,41,nonconverged,male,3,virgin,no
2,41,nonconverged,male,3,virgin,no
0,41,nonconverged,male,3,mated,no
1,41,nonconverged,male,3,mated,no
1,41,nonconverged,male,3,mated,no
2,41,nonconverged,male,3,mated,no
1,41,nonconverged,female,3,virgin,no
1,41,nonconverged,female,3,virgin,no
2,41,nonconverged,female,3,virgin,no
2,41,nonconverged,female,3,virgin,no
2,41,nonconverged,female,3,virgin,no
1,41,nonconverged,female,3,mated,no
1,41,nonconverged,female,3,mated,no
1,41,nonconverged,female,3,mated,no
2,41,nonconverged,female,3,mated,no
2,41,nonconverged,female,3,mated,no
0,42,nonconverged,male,3,virgin,no
1,42,nonconverged,male,3,virgin,no
2,42,nonconverged,male,3,virgin,no
2,42,nonconverged,male,3,virgin,no
2,42,nonconverged,male,3,virgin,no
0,42,nonconverged,female,3,virgin,no
1,42,nonconverged,female,3,virgin,no
2,42,nonconverged,female,3,virgin,no
2,42,nonconverged,female,3,virgin,no
2,42,nonconverged,female,3,virgin,no
0,42,nonconverged,female,1,virgin,no
0,42,nonconverged,female,1,virgin,no
0,42,nonconverged,female,1,virgin,no
0,42,nonconverged,female,1,virgin,no
1,42,nonconverged,female,1,virgin,no
1,42,nonconverged,female,1,virgin,no
1,42,nonconverged,female,1,virgin,no
1,42,nonconverged,female,1,virgin,no
2,42,nonconverged,female,1,virgin,no
0,7,converged,female,5,mated,no
0,7,converged,female,5,mated,no
0,7,converged,female,5,mated,no
0,7,converged,female,5,mated,no
2,7,converged,female,5,mated,no
0,16,converged,female,5,mated,no
1,16,converged,female,5,mated,no
1,16,converged,female,5,mated,no
1,28,converged,female,5,mated,no
1,28,converged,female,5,mated,no
1,28,converged,female,5,mated,no
2,28,converged,female,5,mated,no
2,28,converged,female,5,mated,no
1,29,nonconverged,female,5,mated,no
2,29,nonconverged,female,5,mated,no
2,29,nonconverged,female,5,mated,no
2,29,nonconverged,female,5,mated,no
2,29,nonconverged,female,5,mated,no
0,30,converged,female,5,mated,no
0,30,converged,female,5,mated,no
0,30,converged,female,5,mated,no
1,30,converged,female,5,mated,no
2,30,converged,female,5,mated,no
0,31,nonconverged,female,5,mated,no
0,31,nonconverged,female,5,mated,no
1,31,nonconverged,female,5,mated,no
1,31,nonconverged,female,5,mated,no
0,32,converged,female,5,mated,no
0,32,converged,female,5,mated,no
2,32,converged,female,5,mated,no
2,32,converged,female,5,mated,no
2,32,converged,female,5,mated,no
2,34,converged,female,5,mated,no
2,34,converged,female,5,mated,no
2,34,converged,female,5,mated,no
2,34,converged,female,5,mated,no
2,34,converged,female,5,mated,no
0,35,nonconverged,female,5,mated,no
0,35,nonconverged,female,5,mated,no
0,35,nonconverged,female,5,mated,no
0,35,nonconverged,female,5,mated,no
1,35,nonconverged,female,5,mated,no
1,36,nonconverged,female,5,mated,no
2,36,nonconverged,female,5,mated,no
2,36,nonconverged,female,5,mated,no
2,36,nonconverged,female,5,mated,no
2,36,nonconverged,female,5,mated,no
1,37,nonconverged,female,5,mated,no
2,37,nonconverged,female,5,mated,no
2,37,nonconverged,female,5,mated,no
2,37,nonconverged,female,5,mated,no
2,37,nonconverged,female,5,mated,no
2,38,nonconverged,female,5,mated,no
2,38,nonconverged,female,5,mated,no
2,38,nonconverged,female,5,mated,no
2,38,nonconverged,female,5,mated,no
2,38,nonconverged,female,5,mated,no
0,39,converged,female,5,mated,no
1,39,converged,female,5,mated,no
2,39,converged,female,5,mated,no
2,39,converged,female,5,mated,no
0,40,converged,female,5,mated,no
0,40,converged,female,5,mated,no
1,40,converged,female,5,mated,no
1,40,converged,female,5,mated,no
0,42,nonconverged,female,5,mated,no
0,42,nonconverged,female,5,mated,no
1,42,nonconverged,female,5,mated,no
1,42,nonconverged,female,5,mated,no
1,43,nonconverged,female,5,mated,no
2,43,nonconverged,female,5,mated,no
2,43,nonconverged,female,5,mated,no
2,43,nonconverged,female,5,mated,no
2,43,nonconverged,female,5,mated,no
1,44,converged,female,5,mated,no
1,44,converged,female,5,mated,no
1,44,converged,female,5,mated,no
2,44,converged,female,5,mated,no
1,7,converged,female,5,mated,yes
1,7,converged,female,5,mated,yes
1,7,converged,female,5,mated,yes
2,7,converged,female,5,mated,yes
0,16,converged,female,5,mated,yes
1,16,converged,female,5,mated,yes
1,16,converged,female,5,mated,yes
1,16,converged,female,5,mated,yes
1,16,converged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
2,27,nonconverged,female,5,mated,yes
0,28,converged,female,5,mated,yes
0,28,converged,female,5,mated,yes
1,28,converged,female,5,mated,yes
2,28,converged,female,5,mated,yes
2,28,converged,female,5,mated,yes
1,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
2,29,nonconverged,female,5,mated,yes
0,30,converged,female,5,mated,yes
0,30,converged,female,5,mated,yes
1,30,converged,female,5,mated,yes
1,30,converged,female,5,mated,yes
2,30,converged,female,5,mated,yes
2,30,converged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
0,31,nonconverged,female,5,mated,yes
1,31,nonconverged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
2,32,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
0,34,converged,female,5,mated,yes
1,34,converged,female,5,mated,yes
0,35,nonconverged,female,5,mated,yes
0,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,35,nonconverged,female,5,mated,yes
1,36,nonconverged,female,5,mated,yes
2,36,nonconverged,female,5,mated,yes
2,36,nonconverged,female,5,mated,yes
2,36,nonconverged,female,5,mated,yes
1,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
0,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
1,40,converged,female,5,mated,yes
1,40,converged,female,5,mated,yes
0,42,nonconverged,female,5,mated,yes
1,42,nonconverged,female,5,mated,yes
1,42,nonconverged,female,5,mated,yes
2,42,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
